File Design Information:,,,,,,,
,,,,,,,
Date:       06/08/26,,,,,,,
Time:       22:26,,,,,,,
Revision:   Not in VersionControl,,,,,,,
Variant:    No variations,,,,,,,
Units used: mm,,,,,,,
,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description
D2,MURA160T3G,TopLayer,DO-214AC,99.75,59.25,0,"600V, 2A, Fast Recovery Diode"
P3,Header 4,TopLayer,HDR1X4,103.27,86.75,0,"Header, 4-Pin"
P2,Header 2,TopLayer,HDR1X2,82.77,86.75,0,"Header, 2-Pin"
P1,Header 7,TopLayer,HDR1X7,76.6,128.28,270,"Header, 7-Pin"
MH3,"M3, Tight Fit",TopLayer,MOUNT_M3_TIGHT,78,141.5,0,Machine screw M3 Mounting Hole
MH2,"M3, Tight Fit",TopLayer,MOUNT_M3_TIGHT,110,40,0,Machine screw M3 Mounting Hole
MH1,"M3, Tight Fit",TopLayer,MOUNT_M3_TIGHT,78,40,0,Machine screw M3 Mounting Hole
J3,BG306-02-A-2-0400-L-G,TopLayer,BG306-R2-2PIN,100.076,54.8142,0,"2-Pin SMD, Female Header, 0.1 spacing"""
R6,22k,TopLayer,RESC1608X55N,96.15,82,180,"22k res, 0603, 1%, 1/10W"
D7,MM3Z18VB,TopLayer,SOD323,85.852,54.737,90,DIODE ZENER 10V 400MW SOD323
R2,300K,TopLayer,RESC6432X06N,99.0346,50.0888,0,"300K res, 2512, 1%, 3W"
SW3,KSC741J LFS,TopLayer,CK_KSC7J,90.8812,57.7088,90,SWITCH TACTILE SPST-NO 0.01A 32V
J2,1x2_Pin_Header,TopLayer,22-23-2021,110,137.02,270,CONN HEADER 2POS .100 VERT TIN
D1,DSS13UTR,TopLayer,DSS13UTR,109,141.75,0,SCHOTTKY 30V SOD-123FL
C5,100n,TopLayer,CAPC0603_M,85.0138,70.6374,90,"100n, 0603"
R10,1k,TopLayer,RESC1608X55N,86.1568,75.5904,180,"1k res, 0603, 1%, 1/10W"
Q4,AO3422,TopLayer,SOT95P245X110-3M,87.7062,70.6374,270,MOSFET N-CH 30V 2.2A SOT23-3
R13,1k,TopLayer,RESC1608X55N,109.25,119,90,"1k res, 0603, 1%, 1/10W"
D6,"LED, 0603, Red",TopLayer,LED-0603-RED,109.25,113.25,270,"Chip LED, Red"
SW2,KSC741J LFS,TopLayer,CK_KSC7J,78.4,104.9,90,SWITCH TACTILE SPST-NO 0.01A 32V
SW1,KSC741J LFS,TopLayer,CK_KSC7J,110,127,90,SWITCH TACTILE SPST-NO 0.01A 32V
R12,1k,TopLayer,RESC1608X55N,80.8,119.4,0,"1k res, 0603, 1%, 1/10W"
R11,1k,TopLayer,RESC1608X55N,77.2,117.8,0,"1k res, 0603, 1%, 1/10W"
Q1,LDA111STR,TopLayer,SOP254P952X470-6N,94.742,75.204,90,Phototransistor
U1,SC0915,TopLayer,MODULE_SC0915_TH,94.196,117.957,0,Raspberry Pi Pico
T2,ATB322524,TopLayer,ATB322524,86.741,66.802,180,"HV Transformer 1:10, Small"
T1,ATB322524,TopLayer,ATB322524,98.552,64.389,90,"HV Transformer 1:10, Small"
R9,2k,TopLayer,RESC2012X70N,86.5,62.25,0,
R7,10R,TopLayer,RESC1608X55N,85.852,58.7638,270,"10R res, 0603, 1%, 1/10W"
R5,1k,TopLayer,RESC1608X55N,103,67.5,180,"1k res, 0603, 1%, 1/10W"
R4,75R,TopLayer,RESC2012X70N,100.5,75,270,"75R res, 0805, 1%, 1/8W"
R3,10R,TopLayer,RESC1608X55N,89.027,75.2094,270,"10R res, 0603, 1%, 1/10W"
R1,20M,TopLayer,RESC5025X06N,93,65.7,270,"20M, 2010, 1%"
Q3,AO3422,TopLayer,SOT95P245X110-3M,102.489,64.135,270,MOSFET N-CH 30V 2.2A SOT23-3
Q2,RGT16BM65DTL,TopLayer,DPAK_TO-252AA_M,89.2108,44.2746,90,MOSFET N-CH 100V 7.7A DPAK
J1,EDGE-SMA,TopLayer,CON-SMA-MALE-PCB-EDGE062,94.9198,31.7754,270,"SMA MaleEdge Mount Connector for 0.062 Thick Board"""
D9,"LED, 0603, Red",TopLayer,LED-0603-RED,77.25,114.95,270,"Chip LED, Red"
D8,"LED, 0603, Green",TopLayer,LED-0603-GREEN,79.75,114.95,270,"Chip LED, Green"
D5,DSS13UTR,TopLayer,DSS13UTR,88.3666,79.4004,90,SCHOTTKY 30V SOD-123FL
D4,DSS13UTR,TopLayer,DSS13UTR,108.25,82.75,90,SCHOTTKY 30V SOD-123FL
D3,DSS13UTR,TopLayer,DSS13UTR,100.711,79.603,90,SCHOTTKY 30V SOD-123FL
C3,"0.47uF,630V,X7T",TopLayer,CKG57N_2220,96.4946,41.6814,0,"1uF, 630V, X7T, Stacked"
C2,4.7uF/50V,TopLayer,CAPC0805_M,101.5,72.25,0,"4u7, 50V, 0805, Ceramic"
C1,4.7uF/50V,TopLayer,CAPC0805_M,101.5,69.75,0,"4u7, 50V, 0805, Ceramic"
